"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"32-11082006-073443";"";
"REFERENCE";"218.502.020";"";
"TraceParts.PartTitle";"WINKEL Pinion Modul 2 TYPE ZR 2 - Ø 9 mm, with 20 teeth, not hardened";"";
"TraceParts.InstanceId";"32-11082006-0734435PAK6GZ29JBDJMSJ1YIGVNIN0";"";
"REFERENCE1";"Mod. 2";"";
"SUPPLIER";"WINKEL";"";
"DESIGN";"WINKEL Pinion Modul 2 TYPE ZR 2 - Ø 9 mm, with 20 teeth, not hardened";"";
"TraceParts.PartVersion";"1.5.6";"";
"TraceParts.PartLanguage";"en";"";
